ADM2_EN,ADM2_PCODE,ADM2_REF,ADM2ALT1_EN,ADM2ALT2_EN,ADM1_EN,ADM1_PCODE,ADM0_EN,ADM0_PCODE,DATE,VALIDON,VALID_TO,District,DISTRICT_PCODE,AREA_SQKM
Siddhakumakh,NP0653403,,,,6,NP06,Nepal,NP,11/28/2018 0:00,4/30/2019 0:00,,Salyan,NP0653,89.31124886
Dhorpatan,NP0443301,,,,4,NP04,Nepal,NP,11/28/2018 0:00,4/30/2019 0:00,,Baglung,NP0443,222.854964
Dhorpatan Hunting Reserve,NP0443598,,,,4,NP04,Nepal,NP,11/28/2018 0:00,4/30/2019 0:00,,Baglung,NP0443,312.1269849
Dhorpatan Hunting Reserve,NP0444598,,,,4,NP04,Nepal,NP,11/28/2018 0:00,4/30/2019 0:00,,Myagdi,NP0444,178.0379923
Dhorpatan Hunting Reserve,NP0552598,,,,5,NP05,Nepal,NP,11/28/2018 0:00,4/30/2019 0:00,,Rukum East,NP0552,521.1093371
Dhulikhel,NP0324303,,,,3,NP03,Nepal,NP,11/28/2018 0:00,4/30/2019 0:00,,Kabhrepalanchok,NP0324,54.59726098
Dhunibesi,NP0330302,,,,3,NP03,Nepal,NP,11/28/2018 0:00,4/30/2019 0:00,,Dhading,NP0330,98.63229526
Dhurkot,NP0551403,,,,5,NP05,Nepal,NP,11/28/2018 0:00,4/30/2019 0:00,,Gulmi,NP0551,83.29184394
Dilasaini,NP0774401,,,,7,NP07,Nepal,NP,11/28/2018 0:00,4/30/2019 0:00,,Baitadi,NP0774,124.9760745
Dipayal Silgadi,NP0770302,,,,7,NP07,Nepal,NP,11/28/2018 0:00,4/30/2019 0:00,,Doti,NP0770,126.3737778
Diprung Chuichumma,NP0112404,,,,1,NP01,Nepal,NP,11/28/2018 0:00,4/30/2019 0:00,,Khotang,NP0112,136.2546095
Dogadakedar,NP0774402,,,,7,NP07,Nepal,NP,11/28/2018 0:00,4/30/2019 0:00,,Baitadi,NP0774,126.0530408
Dolpo Buddha,NP0662403,,,,6,NP06,Nepal,NP,11/28/2018 0:00,4/30/2019 0:00,,Dolpa,NP0662,1179.939368
